canopy_height,column,cultivar,date,leaf_angle_alpha,leaf_angle_beta,leaf_angle_chi,leaf_angle_mean,range,season,day_offset
17.0,10,6000000700,2017-05-16 12:00:00,4.8799690376800005,2.67118471297,2.01429906068,0.370519713262,23,4,15
21.0,14,6000001010,2017-05-16 12:00:00,4.02746443705,2.31774568166,1.99708788943,0.374901960784,39,4,15
25.0,2,6000000559,2017-05-16 12:00:00,2.2512177953,1.7961133217200003,1.67691998375,0.466064501187,40,4,15
19.0,9,6000000755,2017-05-16 12:00:00,3.21000252749,2.05520596448,1.87653075287,0.41793650793700005,41,4,15
21.0,9,6000000856,2017-05-16 12:00:00,3.54301480333,2.09320394681,1.9625660067900002,0.399852344038,42,4,15
24.0,6,6000000893,2017-05-16 12:00:00,3.76640652241,2.27538773855,1.91815648967,0.405010596427,48,4,15
17.0,4,6000000916,2017-05-16 12:00:00,3.1089395709400005,2.00412277426,1.87635061768,0.415638727816,30,4,15
19.0,8,6000000737,2017-05-16 12:00:00,3.3020479528299997,2.16107465776,1.8095190936099996,0.434397348683,51,4,15
17.0,15,6000000741,2017-05-16 12:00:00,4.42875412324,2.2774651672,2.1599893457599997,0.333305274972,33,4,15
21.0,3,6000000746,2017-05-16 12:00:00,2.8750640485299996,1.97775924833,1.79491742753,0.436848412223,42,4,15
17.0,2,6000000991,2017-05-16 12:00:00,3.3912230401300003,2.18770765512,1.85221689498,0.418595018192,48,4,15
16.0,3,6000000464,2017-05-16 12:00:00,3.25326410587,2.15918306701,1.84380257819,0.414221305212,51,4,15
18.0,5,6000001023,2017-05-16 12:00:00,3.35140580579,2.1179318262,1.8805386381799998,0.413831310302,33,4,15
20.0,5,6000000965,2017-05-16 12:00:00,3.9226076779500003,2.28433726357,1.9804631292299997,0.384930088037,42,4,15
25.0,12,6000000750,2017-05-16 12:00:00,4.088875731680001,2.3445160076900002,1.9728123461099998,0.390561868687,41,4,15
20.0,2,6000000707,2017-05-16 12:00:00,2.63756037846,1.9541858002099999,1.7255309441,0.450302840434,36,4,15
15.0,12,6000000929,2017-05-16 12:00:00,4.72061134563,2.64072911963,1.99826846495,0.37317251461999995,34,4,15
19.0,3,6000000471,2017-05-16 12:00:00,3.38605495115,2.07065562343,1.9418243953599998,0.399741602067,44,4,15
20.0,10,6000001063,2017-05-16 12:00:00,3.7312378923900003,2.20127224286,1.9545552689099996,0.39393781934699995,46,4,15
18.0,12,6000000708,2017-05-16 12:00:00,2.98663148709,2.3073650191799997,1.6594609232700002,0.45694444444399995,47,4,15
20.0,6,6000001021,2017-05-16 12:00:00,4.11344930477,2.46234859767,1.93992446467,0.383734939759,50,4,15
22.0,16,6000001054,2017-05-18 12:00:00,3.40596672645,2.04931537102,1.9413080743400002,0.401143563591,19,4,17
24.0,8,6000000210,2017-05-18 12:00:00,2.6729487789,2.0326102052,1.69075070223,0.455770708468,3,4,17
22.0,10,6000000912,2017-05-18 12:00:00,2.07955414782,1.6428541618999999,1.6904450723,0.47110503116,3,4,17
26.0,9,6000000816,2017-05-18 12:00:00,3.1697819390499995,2.04905839683,1.851104642,0.42723175593699997,5,4,17
23.0,15,6000000694,2017-05-18 12:00:00,4.19942157143,2.45028961448,1.9322424051599998,0.39803071364,5,4,17
23.0,2,6000000950,2017-05-18 12:00:00,2.60715364103,1.8573708362099999,1.7737386601599998,0.447433654127,6,4,17
19.0,8,6000000805,2017-05-18 12:00:00,2.96743566421,2.06884233722,1.80305175708,0.426230269266,6,4,17
16.0,10,6000000892,2017-05-18 12:00:00,3.1555911709799997,1.9697004542400003,1.93311962023,0.397851851852,6,4,17
21.0,12,6000000579,2017-05-18 12:00:00,2.81435635622,1.9757616094,1.7930358097099999,0.43235794629100005,6,4,17
26.0,2,6000000553,2017-05-18 12:00:00,3.7203834733099996,2.26368464192,1.91211067975,0.400999157337,7,4,17
27.0,2,6000000993,2017-05-18 12:00:00,3.0527700336400003,2.09446100716,1.7877962951299997,0.433657470225,10,4,17
16.0,2,6000000970,2017-05-18 12:00:00,3.0968896101,2.11820043015,1.78923419459,0.43517766170100003,11,4,17
16.0,10,6000000882,2017-05-18 12:00:00,1.05619545384,1.2792373113600002,1.3967452328299998,0.536646586345,12,4,17
19.0,2,6000000222,2017-05-18 12:00:00,3.3010465339599997,2.1598234236900002,1.83852427842,0.42586598523599994,13,4,17
18.0,5,6000000888,2017-05-18 12:00:00,3.65103913464,2.1887231215900003,1.91384491744,0.416122794295,14,4,17
18.0,3,6000000960,2017-05-18 12:00:00,4.08878022042,2.35328061627,1.9897264542700002,0.381235313864,15,4,17
15.0,5,6000000917,2017-05-18 12:00:00,3.9710068842300004,2.22794883691,2.01932026389,0.38430954916599996,15,4,17
20.0,2,6000000858,2017-05-18 12:00:00,3.31547441415,2.07418406505,1.91231909461,0.407296416938,19,4,17
18.0,5,6000000977,2017-05-18 12:00:00,2.7931042048299997,1.92167226746,1.80230299346,0.435650988412,19,4,17
15.0,2,6000000964,2017-05-18 12:00:00,2.51933051494,1.78072147426,1.7727390786099997,0.447149075858,21,4,17
17.0,6,6000000820,2017-05-18 12:00:00,2.9465128182599996,2.02872174043,1.8061689415200002,0.430984501201,22,4,17
16.0,13,6000000467,2017-05-18 12:00:00,3.6598307745699996,2.16624965296,1.9631629879099999,0.40229390681,25,4,17
20.0,10,6000000562,2017-05-18 12:00:00,3.24867155166,2.06516685782,1.88371328333,0.41179783950599996,26,4,17
20.0,13,6000000851,2017-05-18 12:00:00,4.13176956536,2.3627181926099996,1.97805724428,0.38770433546599997,30,4,17
20.0,2,6000000569,2017-05-18 12:00:00,3.60694971364,2.16937569121,1.9120253759799999,0.40915512089100003,3,4,17
26.0,12,6000000685,2017-05-18 12:00:00,2.82200182468,1.9710767732099999,1.74939376039,0.455555555556,3,4,17
24.0,2,6000000572,2017-05-18 12:00:00,2.7503254782099997,1.91981112219,1.7772922300999998,0.443892778839,4,4,17
16.0,2,6000000929,2017-05-18 12:00:00,3.2883208767500003,2.16749551432,1.81992300379,0.425332270069,5,4,17
23.0,3,6000000885,2017-05-18 12:00:00,3.8414684946699995,2.3423896997,1.92557936375,0.390958240119,28,4,17
28.0,14,6000000737,2017-05-18 12:00:00,3.4924500692400002,2.1251593453799997,1.94295569526,0.396501272265,10,4,17
14.0,6,6000000741,2017-05-18 12:00:00,3.16386326834,2.14877979128,1.82207080291,0.419215254859,12,4,17
19.0,2,6000000944,2017-05-18 12:00:00,3.5840759005300002,2.32322475949,1.8141839502400001,0.430422576832,18,4,17
