column,cultivar,cultivar_id,date,panicle_count,panicle_surface_area,panicle_volume,range,season
8,6000000469,6000000469,2017-08-24 12:00:00,43.0,11944.381545,74509.150163,7,4
2,6000000726,6000000726,2017-08-24 12:00:00,106.0,24504.07328,182302.38792,8,4
8,6000000737,6000000737,2017-08-24 12:00:00,6.0,10372.202758,44951.2217935,51,4
8,6000001057,6000001057,2017-08-24 12:00:00,14.0,13709.150452000002,104982.449673,11,4
10,6000000874,6000000874,2017-08-24 12:00:00,3.0,7874.400601,42102.833361000005,11,4
12,6000001024,6000001024,2017-08-24 12:00:00,22.0,20782.5038635,129634.085814,51,4
4,6000000914,6000000914,2017-08-24 12:00:00,42.0,11043.8971325,59357.0037505,13,4
8,6000000574,6000000574,2017-08-24 12:00:00,5.0,14598.820542,100328.841736,13,4
14,6000000991,6000000991,2017-08-24 12:00:00,5.0,2581.903068,9410.311090000001,15,4
9,6000000217,6000000217,2017-08-24 12:00:00,39.0,17692.618266999998,125955.39407000001,16,4
4,6000000872,6000000872,2017-08-24 12:00:00,62.0,13971.566796500001,75346.442486,18,4
9,6000000213,6000000213,2017-08-24 12:00:00,18.0,13675.574058000002,100643.316849,18,4
12,6000001023,6000001023,2017-08-24 12:00:00,23.0,14942.5578,123283.787627,18,4
13,6000000996,6000000996,2017-08-24 12:00:00,36.0,18381.7043435,171752.897131,18,4
4,6000000861,6000000861,2017-08-24 12:00:00,17.0,6880.257458,39910.767751,20,4
14,6000000703,6000000703,2017-08-24 12:00:00,14.0,11307.2147395,47958.194503,20,4
9,6000001003,6000001003,2017-08-24 12:00:00,16.0,18210.248121,148324.681942,48,4
2,6000000870,6000000870,2017-08-24 12:00:00,11.0,13657.861713999999,80167.363117,51,4
8,6000000464,6000000464,2017-08-24 12:00:00,26.0,16935.433684,106210.544755,18,4
5,6000000216,6000000216,2017-08-24 12:00:00,16.0,12212.2145475,69987.478767,51,4
2,6000000916,6000000916,2017-08-24 12:00:00,4.0,14664.612764500002,91481.921492,9,4
