canopy_height,column,cultivar,cultivar_id,date,leaf_angle_alpha,leaf_angle_beta,leaf_angle_chi,leaf_angle_mean,range,season
335.0,10,6000001029,6000001029,2017-08-22 12:00:00,2.13227995363,1.6241720847,1.7651124488999999,0.445921242579,27,4
318.0,3,6000000742,6000000742,2017-08-22 12:00:00,1.9867279258200001,1.49192985003,1.83695481129,0.44005748165200004,5,4
389.0,11,6000000883,6000000883,2017-08-22 12:00:00,1.83030670507,1.4548663881200001,1.77403512874,0.454822299577,6,4
335.0,5,6000000854,6000000854,2017-08-22 12:00:00,1.02600021442,1.9470499236400003,0.905206262239,0.6440641130129999,25,4
303.0,4,6000000718,6000000718,2017-08-22 12:00:00,1.35685320041,1.37084505436,1.5479141404499999,0.5016016548460001,15,4
379.0,7,6000000945,6000000945,2017-08-22 12:00:00,1.7468362160799997,1.4721926450999998,1.69668723372,0.465377077865,18,4
384.0,12,6000000575,6000000575,2017-08-22 12:00:00,1.60949198837,1.32068332408,1.78449804665,0.45731812392300003,10,4
327.0,13,6000000460,6000000460,2017-08-22 12:00:00,1.4468055165399998,1.2951790546700002,1.71117013433,0.47208734000200003,29,4
296.0,14,6000000958,6000000958,2017-08-22 12:00:00,1.57627188483,1.3421484184799999,1.73811640227,0.464308930893,12,4
297.0,5,6000000997,6000000997,2017-08-22 12:00:00,1.11115801626,,,0.5072768346109999,10,4
292.0,10,6000000807,6000000807,2017-08-22 12:00:00,2.2607849082900002,1.57150337931,1.8731284868400002,0.432299010183,22,4
318.0,11,6000000858,6000000858,2017-08-22 12:00:00,1.47449934132,1.33098883314,1.68682980249,0.476511795111,32,4
351.0,13,6000000983,6000000983,2017-08-22 12:00:00,1.8602117930700002,1.4817734123800002,1.7562508683099998,0.45148487411399996,32,4
268.0,5,6000000977,6000000977,2017-08-22 12:00:00,1.73371848502,1.37039871038,1.8225568703400001,0.444486478913,19,4
299.0,9,6000000980,6000000980,2017-08-22 12:00:00,1.9633362979799998,1.5374563842,1.7480347251900001,0.455274905115,4,4
345.0,5,6000000702,6000000702,2017-08-22 12:00:00,2.84771432611,1.86935790564,1.87514066153,0.41943409828199996,5,4
379.0,8,6000000791,6000000791,2017-08-22 12:00:00,2.39862296778,1.66411624709,1.84672803792,0.437935770241,19,4
381.0,4,6000000855,6000000855,2017-08-22 12:00:00,2.46564852303,1.74157510513,1.82744672699,0.42799402374799994,9,4
318.0,2,6000000738,6000000738,2017-08-22 12:00:00,1.26585006985,1.2757322536799998,1.5788971346399998,0.496373626374,38,4
365.0,10,6000000882,6000000882,2017-08-22 12:00:00,1.53512921356,1.50226669519,1.5420426610100002,0.496220452534,12,4
324.0,2,6000000579,6000000579,2017-08-22 12:00:00,1.8860147671599998,1.5349966371700001,1.70507196118,0.465345724472,39,4
325.0,12,6000000951,6000000951,2017-08-22 12:00:00,1.5361082161700002,1.3708333417299998,1.66340061521,0.47321454085299997,16,4
393.0,13,6000000877,6000000877,2017-08-22 12:00:00,1.5933727444499999,1.35695673725,1.7241022185900003,0.46287469547700005,7,4
351.0,15,6000000717,6000000717,2017-08-22 12:00:00,1.07414848428,1.08588750771,1.71613137124,0.48249956509900005,3,4
355.0,13,6000001020,6000001020,2017-08-22 12:00:00,2.11660249361,1.5057914116799997,1.8824269036,0.435644486506,39,4
375.0,9,6000000932,6000000932,2017-08-22 12:00:00,1.08596354687,1.1140707136399999,1.70180612954,0.489740169605,21,4
344.0,10,6000000850,6000000850,2017-08-22 12:00:00,1.69207750123,1.36932269312,1.76814004658,0.455241206443,8,4
355.0,15,6000000228,6000000228,2017-08-22 12:00:00,0.9752523788519999,1.22702013038,1.40467892996,0.54266222683,15,4
342.0,4,6000000815,6000000815,2017-08-22 12:00:00,1.1417718305,1.32791062952,1.4064860118399998,0.53083157439,41,4
364.0,12,6000000853,6000000853,2017-08-22 12:00:00,1.55052556701,1.28808114544,1.8102163779900002,0.454493547292,13,4
365.0,4,6000000796,6000000796,2017-08-22 12:00:00,2.05262752975,1.57676816282,1.7812111024900001,0.44444519948100003,8,4
339.0,4,6000000810,6000000810,2017-08-22 12:00:00,2.69050862427,1.6433354923399999,2.0295132592500003,0.399671560199,7,4
